ChemkinName	ChemicalFormula	MolecularWeight	Radius	Diffusivity	AbrahamS	AbrahamB	AbrahamE	AbrahamL	AbrahamA	AbrahamV	ChemkinName
SPC(804)	C16H21O3J	261.0	7.069150897757325E-10	1.0951141708455735E-9	1.3420000000000005	0.906	1.0670000000000002	9.142999999999999	0.348	212.83999999999946	SPC(804)
SPC(1294)	C16H20O2	244.0	6.796361738888232E-10	1.1390693464244792E-9	1.1310000000000002	0.61	1.0949999999999998	8.421	0.0030	198.25999999999948	SPC(1294)
SPC(71)	C16H33J	225.0	7.118380296114519E-10	1.0875405642777155E-9	0.12700000000000003	0.08499999999999999	0.04000000000000001	7.757999999999998	0.0030	234.1499999999997	SPC(71)
SPC(1412)	C16H33O2J	257.0	7.326504247987865E-10	1.0566468075284159E-9	0.595	0.614	0.20400000000000001	8.739999999999998	0.348	245.89000000000016	SPC(1412)
SPC(1416)	C16H34O2	258.0	7.326504247987865E-10	1.0566468075284159E-9	0.595	0.614	0.20400000000000001	8.739999999999998	0.348	248.0399999999999	SPC(1416)
SPC(76)	C16H33J	225.0	7.118380296114519E-10	1.0875405642777155E-9	0.12700000000000003	0.08499999999999999	0.04000000000000001	7.757999999999998	0.0030	234.1499999999997	SPC(76)
SPC(1504)	C16H33O2J	257.0	7.326504247987865E-10	1.0566468075284159E-9	0.595	0.614	0.20400000000000001	8.739999999999998	0.348	245.89000000000016	SPC(1504)
SPC(1508)	C16H34O2	258.0	7.326504247987865E-10	1.0566468075284159E-9	0.595	0.614	0.20400000000000001	8.739999999999998	0.348	248.0399999999999	SPC(1508)
SPC(1373)	C16H19O2J	243.0	6.796361738888232E-10	1.1390693464244792E-9	1.1310000000000002	0.61	1.0949999999999998	8.421	0.0030	196.1099999999995	SPC(1373)
SPC(1603)	C16H19O4J	275.0	7.023753826940234E-10	1.1021922912910808E-9	1.5990000000000006	1.1389999999999993	1.2589999999999997	9.403	0.348	207.8499999999995	SPC(1603)
SPC(1620)	C16H20O4	276.0	7.023753826940234E-10	1.1021922912910808E-9	1.5990000000000006	1.139	1.259	9.402999999999999	0.348	209.9999999999995	SPC(1620)
SPC(73)	C16H33J	225.0	7.118380296114519E-10	1.0875405642777155E-9	0.12700000000000003	0.08499999999999999	0.04000000000000001	7.757999999999998	0.0030	234.1499999999997	SPC(73)
SPC(1752)	C16H33O2J	257.0	7.326504247987865E-10	1.0566468075284159E-9	0.595	0.614	0.20400000000000001	8.739999999999998	0.348	245.89000000000016	SPC(1752)
SPC(1756)	C16H34O2	258.0	7.326504247987865E-10	1.0566468075284159E-9	0.595	0.614	0.20400000000000001	8.739999999999998	0.348	248.0399999999999	SPC(1756)
SPC(533)	C16H23O4J	279.0	7.322482326005983E-10	1.0572271777953665E-9	1.5380000000000007	1.2240000000000002	1.0160000000000002	9.659999999999998	0.693	229.56999999999942	SPC(533)
SPC(72)	C16H33J	225.0	7.118380296114519E-10	1.0875405642777155E-9	0.12700000000000003	0.08499999999999999	0.04000000000000001	7.757999999999998	0.0030	234.1499999999997	SPC(72)
SPC(1876)	C16H33O2J	257.0	7.326504247987865E-10	1.0566468075284159E-9	0.595	0.614	0.20400000000000001	8.739999999999998	0.348	245.89000000000016	SPC(1876)
SPC(1879)	C16H34O2	258.0	7.326504247987865E-10	1.0566468075284159E-9	0.595	0.614	0.20400000000000001	8.739999999999998	0.348	248.0399999999999	SPC(1879)
SPC(801)	C16H21O3J	261.0	7.15573076305021E-10	1.0818639745299532E-9	1.3420000000000005	0.906	1.0670000000000002	9.142999999999999	0.348	212.83999999999946	SPC(801)
SPC(1993)	C16H20O2	244.0	6.820585160717394E-10	1.1350239226637697E-9	1.3300000000000005	0.7330000000000001	1.0190000000000001	8.575999999999999	0.0030	204.81999999999948	SPC(1993)
SPC(2040)	C16H21O4J	277.0	7.31352662563943E-10	1.0585217939646052E-9	1.6090000000000004	1.2610000000000001	1.2030000000000003	9.604	0.693	218.70999999999947	SPC(2040)
SPC(1108)	C16H21O3J	261.0	6.941678284508788E-10	1.1152241585807755E-9	1.5410000000000004	1.0290000000000001	0.9910000000000002	9.298	0.348	219.39999999999947	SPC(1108)
SPC(52)	C13H27J	183.0	6.663339290589995E-10	1.161808964900284E-9	0.12700000000000003	0.08499999999999999	0.04000000000000001	6.260999999999999	0.0030	191.87999999999943	SPC(52)
SPC(2176)	C13H27O2J	215.0	6.899452517982707E-10	1.1220495110013825E-9	0.595	0.614	0.20400000000000001	7.2429999999999986	0.348	203.61999999999938	SPC(2176)
SPC(2243)	C13H28O2	216.0	6.899452517982707E-10	1.1220495110013825E-9	0.595	0.614	0.20400000000000001	7.242999999999999	0.348	205.7699999999994	SPC(2243)
SPC(665)	C16H23O4J	279.0	7.355304775334151E-10	1.052509387502309E-9	1.5530000000000004	1.201999999999999	1.0390000000000001	9.865	0.693	229.56999999999942	SPC(665)
SPC(669)	C16H22O3	262.0	7.039375403367062E-10	1.0997463383295115E-9	1.5410000000000004	1.0290000000000001	0.9910000000000002	9.298	0.348	221.54999999999944	SPC(669)
SPC(2481)	C16H23O5J	295.0	7.504896139387304E-10	1.0315302410849579E-9	1.8200000000000007	1.5570000000000002	1.1750000000000003	10.326	1.0379999999999998	235.43999999999954	SPC(2481)
