ChemkinName	ChemicalFormula	MolecularWeight	Radius	Diffusivity	AbrahamS	AbrahamB	AbrahamE	AbrahamL	AbrahamA	AbrahamV	ChemkinName
SPC(782)	C16H34O2	258.0	7.326504247987865E-10	1.0566468075284159E-9	0.595	0.614	0.20400000000000001	8.739999999999998	0.348	248.0399999999999	SPC(782)
SPC(35)	C16H33J	225.0	7.118380296114519E-10	1.0875405642777155E-9	0.12700000000000003	0.08499999999999999	0.04000000000000001	7.757999999999998	0.0030	234.1499999999997	SPC(35)
SPC(861)	C16H33O2J	257.0	7.326504247987865E-10	1.0566468075284159E-9	0.595	0.614	0.20400000000000001	8.739999999999998	0.348	245.89000000000016	SPC(861)
SPC(865)	C16H34O2	258.0	7.326504247987865E-10	1.0566468075284159E-9	0.595	0.614	0.20400000000000001	8.739999999999998	0.348	248.0399999999999	SPC(865)
SPC(34)	C16H33J	225.0	7.118380296114519E-10	1.0875405642777155E-9	0.12700000000000003	0.08499999999999999	0.04000000000000001	7.757999999999998	0.0030	234.1499999999997	SPC(34)
SPC(947)	C16H33O2J	257.0	7.326504247987865E-10	1.0566468075284159E-9	0.595	0.614	0.20400000000000001	8.739999999999998	0.348	245.89000000000016	SPC(947)
SPC(950)	C16H34O2	258.0	7.326504247987865E-10	1.0566468075284159E-9	0.595	0.614	0.20400000000000001	8.739999999999998	0.348	248.0399999999999	SPC(950)
SPC(133)	C16H24O2JJ	248.0	7.162775235226939E-10	1.0807999790230024E-9	0.9700000000000003	0.673	0.7160000000000001	8.737999999999998	0.348	219.9799999999994	SPC(133)
SPC(235)	C16H24O2JJ	248.0	7.209832963184165E-10	1.073745725249198E-9	0.97	0.6729999999999999	0.716	8.737999999999998	0.348	219.9799999999994	SPC(235)
HOJ(103)	HOJ	17.0	3.1800000000000004E-10	2.4344425547106146E-9	0.524	0.378	0.309	0.802	0.348	14.580000000000002	HOJ(103)
H2O(1149)	H2O	18.0	3.1800000000000004E-10	2.4344425547106146E-9	0.524	0.378	0.309	0.802	0.348	16.730000000000004	H2O(1149)
SPC(159)	C16H25OJ	233.0	6.948190336594852E-10	1.1141789370976989E-9	0.785	0.4620000000000001	0.7020000000000001	8.377999999999998	0.348	216.25999999999937	SPC(159)
C9H19J(77)	C9H19J	127.0	5.937971338872596E-10	1.3037326861617337E-9	0.12700000000000003	0.08499999999999999	0.04000000000000001	4.265000000000001	0.0030	135.51999999999987	C9H19J(77)
SPC(1177)	C7H6O	106.0	5.053864603782009E-10	1.5318034674269786E-9	0.9970000000000002	0.4820000000000001	0.683	3.907999999999999	0.0030	87.30000000000001	SPC(1177)
SPC(1199)	C9H19O2J	159.0	6.231543258565773E-10	1.24231301986685E-9	0.634	0.596	0.219	5.475	0.348	147.25999999999976	SPC(1199)
SPC(1203)	C9H20O2	160.0	6.231543258565773E-10	1.24231301986685E-9	0.634	0.596	0.219	5.4750000000000005	0.348	149.40999999999985	SPC(1203)
SPC(17)	C13H27J	183.0	6.663339290589995E-10	1.161808964900284E-9	0.12700000000000003	0.08499999999999999	0.04000000000000001	6.260999999999999	0.0030	191.87999999999943	SPC(17)
SPC(1347)	C13H27O2J	215.0	6.899452517982707E-10	1.1220495110013825E-9	0.595	0.614	0.20400000000000001	7.2429999999999986	0.348	203.61999999999938	SPC(1347)
SPC(1353)	C13H28O2	216.0	6.899452517982707E-10	1.1220495110013825E-9	0.595	0.614	0.20400000000000001	7.242999999999999	0.348	205.7699999999994	SPC(1353)
SPC(53)	C19H39J	267.0	7.521603549441157E-10	1.029238947930849E-9	0.12700000000000003	0.08499999999999999	0.04000000000000001	9.254999999999999	0.0030	276.4200000000012	SPC(53)
SPC(1430)	C19H39O2J	299.0	7.708786935770398E-10	1.0042471517869347E-9	0.595	0.614	0.20400000000000001	10.237	0.348	288.1600000000015	SPC(1430)
SPC(1435)	C19H40O2	300.0	7.708786935770398E-10	1.0042471517869347E-9	0.595	0.614	0.20400000000000001	10.237	0.348	290.3100000000014	SPC(1435)
